indonesia,osing
bapak mencium sayur di sungai,bapak ngambung jangan nong kali
anak menyapu sayur ke rumah,lare nyapu jangan nyang umah
bapak menyimpan sayur ke sungai,bapak nyimpen jangan nyang kali
aku menyimpan anak di dapur,isun nyimpen lare nong pawon
mereka mengambil air di rumah,wong-wong njuwut byanyu nong umah
kamu menyimpan sayur ke rumah,riko nyimpen jangan nyang umah
mereka membawa nasi,wong-wong nggowo sego
saya memasak sayur ke pasar,isun ngolah jangan nyang pasar
ibu memanggil kunci dari dapur,mak ngundang kunci teko pawon
dia membawa kunci dari rumah,yane nggowo kunci teko umah
anak memukul pisang di bukit,lare nyampat gedhang nong puthuk
dia memasak kunci di rumah,yane ngolah kunci nong umah
dia memanggil buku dari sungai,yane ngundang buku teko kali
dia memanggil air,yane ngundang byanyu
aku memukul bunga dari sungai,isun nyampat kembang teko kali
bapak membawa pisau ke dapur,bapak nggowo lading nyang pawon
ibu melihat nasi ke bukit,mak ndeleng sego nyang puthuk
kamu memukul bunga di bukit,riko nyampat kembang nong puthuk
aku menyapu kunci di rumah,isun nyapu kunci nong umah
saya memasak buku di dapur,isun ngolah buku nong pawon
nenek memasak buku,embyah ngolah buku
mereka memanggil air dari pasar,wong-wong ngundang byanyu teko pasar
anak menyapu nasi ke sungai,lare nyapu sego nyang kali
anak memanggil sayur,lare ngundang jangan
saya membawa anak ke bukit,isun nggowo lare nyang puthuk
ibu menyapu nasi,mak nyapu sego
aku mengambil sayur dari dapur,isun njuwut jangan teko pawon
mereka menyapu anak ke sungai,wong-wong nyapu lare nyang kali
dia mencium sayur ke dapur,yane ngambung jangan nyang pawon
kamu memanggil pisau dari bukit,riko ngundang lading teko puthuk
nenek menyapu anak ke pasar,embyah nyapu lare nyang pasar
saya membawa buku di bukit,isun nggowo buku nong puthuk
aku membawa buku,isun nggowo buku
saya menyimpan air dari sungai,isun nyimpen byanyu teko kali
saya mencium buku ke bukit,isun ngambung buku nyang puthuk
aku menyapu buku di rumah,isun nyapu buku nong umah
dia mencium air di pasar,yane ngambung byanyu nong pasar
aku mengambil air di pasar,isun njuwut byanyu nong pasar
kamu menyapu sayur,riko nyapu jangan
dia mencium bunga dari pasar,yane ngambung kembang teko pasar
bapak memanggil kunci di sungai,bapak ngundang kunci nong kali
saya memasak anak ke sungai,isun ngolah lare nyang kali
ibu mencium bunga di rumah,mak ngambung kembang nong umah
mereka mencium sayur ke pasar,wong-wong ngambung jangan nyang pasar
aku memasak pisau,isun ngolah lading
bapak menyimpan pisang,bapak nyimpen gedhang
saya memanggil bunga,isun ngundang kembang
anak memukul nasi ke sungai,lare nyampat sego nyang kali
anak mencium buku,lare ngambung buku
mereka melihat kunci ke dapur,wong-wong ndeleng kunci nyang pawon
dia mencium nasi ke rumah,yane ngambung sego nyang umah
dia memukul pisau ke dapur,yane nyampat lading nyang pawon
aku memanggil bunga,isun ngundang kembang
saya menyimpan bunga,isun nyimpen kembang
ibu memukul nasi dari rumah,mak nyampat sego teko umah
saya melihat bunga,isun ndeleng kembang
kamu membawa pisau,riko nggowo lading
kamu menyapu bunga di bukit,riko nyapu kembang nong puthuk
dia memasak nasi ke dapur,yane ngolah sego nyang pawon
dia menyapu air di pasar,yane nyapu byanyu nong pasar
saya memanggil pisau di pasar,isun ngundang lading nong pasar
dia memanggil pisau ke bukit,yane ngundang lading nyang puthuk
kamu menyapu anak ke dapur,riko nyapu lare nyang pawon
saya mengambil buku dari rumah,isun njuwut buku teko umah
ibu memukul kunci dari pasar,mak nyampat kunci teko pasar
saya memasak pisau,isun ngolah lading
kamu menyapu air ke sungai,riko nyapu byanyu nyang kali
kamu membawa kunci ke rumah,riko nggowo kunci nyang umah
dia menyimpan pisau di sungai,yane nyimpen lading nong kali
saya memasak pisang ke dapur,isun ngolah gedhang nyang pawon
kamu mengambil buku ke dapur,riko njuwut buku nyang pawon
dia memanggil pisang dari bukit,yane ngundang gedhang teko puthuk
anak memasak pisau ke bukit,lare ngolah lading nyang puthuk
bapak memasak anak dari sungai,bapak ngolah lare teko kali
aku menyapu pisau dari sungai,isun nyapu lading teko kali
mereka memanggil pisang dari rumah,wong-wong ngundang gedhang teko umah
nenek mengambil kunci dari bukit,embyah njuwut kunci teko puthuk
bapak memasak pisau dari sungai,bapak ngolah lading teko kali
dia memukul pisau,yane nyampat lading
aku membawa air di bukit,isun nggowo byanyu nong puthuk
bapak menyimpan anak dari pasar,bapak nyimpen lare teko pasar
bapak menyapu bunga di sungai,bapak nyapu kembang nong kali
anak memasak bunga,lare ngolah kembang
anak memukul kunci dari pasar,lare nyampat kunci teko pasar
bapak mencium nasi di pasar,bapak ngambung sego nong pasar
nenek memukul pisau dari bukit,embyah nyampat lading teko puthuk
bapak memanggil anak di dapur,bapak ngundang lare nong pawon
saya mengambil nasi dari sungai,isun njuwut sego teko kali
ibu membawa kunci ke sungai,mak nggowo kunci nyang kali
ibu mengambil anak di dapur,mak njuwut lare nong pawon
saya menyapu bunga,isun nyapu kembang
ibu memanggil air ke bukit,mak ngundang byanyu nyang puthuk
mereka memanggil sayur,wong-wong ngundang jangan
dia melihat pisau ke dapur,yane ndeleng lading nyang pawon
nenek membawa pisau dari bukit,embyah nggowo lading teko puthuk
bapak menyapu anak dari sungai,bapak nyapu lare teko kali
ibu memanggil nasi dari sungai,mak ngundang sego teko kali
kamu menyimpan air di pasar,riko nyimpen byanyu nong pasar
bapak melihat kunci dari sungai,bapak ndeleng kunci teko kali
mereka melihat pisau dari pasar,wong-wong ndeleng lading teko pasar
dia mengambil air,yane njuwut byanyu
bapak memasak sayur,bapak ngolah jangan
nenek menyimpan air di bukit,embyah nyimpen byanyu nong puthuk
saya melihat anak di bukit,isun ndeleng lare nong puthuk
kamu melihat pisau,riko ndeleng lading
nenek mencium pisau di rumah,embyah ngambung lading nong umah
nenek memanggil kunci,embyah ngundang kunci
dia mengambil pisang,yane njuwut gedhang
aku memukul pisang dari sungai,isun nyampat gedhang teko kali
anak membawa pisau ke bukit,lare nggowo lading nyang puthuk
mereka mengambil kunci,wong-wong njuwut kunci
nenek memukul pisang di sungai,embyah nyampat gedhang nong kali
aku membawa anak,isun nggowo lare
ibu melihat bunga ke rumah,mak ndeleng kembang nyang umah
ibu memukul sayur di rumah,mak nyampat jangan nong umah
dia mengambil pisau dari rumah,yane njuwut lading teko umah
mereka menyimpan buku ke rumah,wong-wong nyimpen buku nyang umah
mereka memukul sayur ke dapur,wong-wong nyampat jangan nyang pawon
aku melihat nasi di bukit,isun ndeleng sego nong puthuk
ibu membawa pisau ke rumah,mak nggowo lading nyang umah
anak mencium bunga ke sungai,lare ngambung kembang nyang kali
mereka mengambil kunci di dapur,wong-wong njuwut kunci nong pawon
dia memasak nasi ke sungai,yane ngolah sego nyang kali
dia mencium sayur,yane ngambung jangan
saya mencium nasi ke dapur,isun ngambung sego nyang pawon
bapak mengambil kunci dari dapur,bapak njuwut kunci teko pawon
kamu memasak pisang ke sungai,riko ngolah gedhang nyang kali
saya menyimpan nasi ke dapur,isun nyimpen sego nyang pawon
kamu membawa kunci,riko nggowo kunci
mereka memasak pisang,wong-wong ngolah gedhang
ibu membawa nasi,mak nggowo sego
nenek memukul pisau di sungai,embyah nyampat lading nong kali
kamu menyimpan anak,riko nyimpen lare
bapak menyapu kunci ke sungai,bapak nyapu kunci nyang kali
saya menyimpan air di sungai,isun nyimpen byanyu nong kali
kamu memasak nasi di sungai,riko ngolah sego nong kali
nenek mengambil sayur,embyah njuwut jangan
dia memukul kunci,yane nyampat kunci
anak memanggil kunci,lare ngundang kunci
kamu mengambil bunga di sungai,riko njuwut kembang nong kali
mereka menyapu bunga,wong-wong nyapu kembang
anak melihat buku di bukit,lare ndeleng buku nong puthuk
anak menyimpan nasi dari dapur,lare nyimpen sego teko pawon
saya memukul sayur di pasar,isun nyampat jangan nong pasar
mereka mengambil pisang di dapur,wong-wong njuwut gedhang nong pawon
bapak menyapu air,bapak nyapu byanyu
mereka memanggil pisang dari rumah,wong-wong ngundang gedhang teko umah
nenek memasak air ke rumah,embyah ngolah byanyu nyang umah
mereka mengambil nasi dari rumah,wong-wong njuwut sego teko umah
dia memanggil pisau,yane ngundang lading
kamu menyapu nasi dari dapur,riko nyapu sego teko pawon
mereka melihat anak,wong-wong ndeleng lare
kamu melihat nasi,riko ndeleng sego
anak menyapu kunci,lare nyapu kunci
kamu menyimpan buku dari sungai,riko nyimpen buku teko kali
kamu mencium kunci dari bukit,riko ngambung kunci teko puthuk
saya memasak nasi ke pasar,isun ngolah sego nyang pasar
dia memanggil buku di dapur,yane ngundang buku nong pawon
saya memanggil kunci dari rumah,isun ngundang kunci teko umah
saya memasak bunga,isun ngolah kembang
aku memasak pisau ke bukit,isun ngolah lading nyang puthuk
saya menyimpan air ke rumah,isun nyimpen byanyu nyang umah
aku memanggil nasi dari rumah,isun ngundang sego teko umah
nenek melihat pisau di sungai,embyah ndeleng lading nong kali
dia melihat pisau,yane ndeleng lading
nenek menyapu pisang ke pasar,embyah nyapu gedhang nyang pasar
saya memanggil kunci ke bukit,isun ngundang kunci nyang puthuk
aku memukul anak,isun nyampat lare
nenek menyapu kunci dari sungai,embyah nyapu kunci teko kali
anak membawa kunci,lare nggowo kunci
anak melihat buku ke bukit,lare ndeleng buku nyang puthuk
nenek menyimpan pisang di sungai,embyah nyimpen gedhang nong kali
kamu mengambil buku,riko njuwut buku
saya menyimpan pisau dari rumah,isun nyimpen lading teko umah
nenek memukul sayur di dapur,embyah nyampat jangan nong pawon
dia membawa sayur di pasar,yane nggowo jangan nong pasar
ibu menyapu air ke sungai,mak nyapu byanyu nyang kali
nenek memukul anak ke sungai,embyah nyampat lare nyang kali
anak memukul bunga di pasar,lare nyampat kembang nong pasar
ibu memasak air,mak ngolah byanyu
bapak memasak anak ke dapur,bapak ngolah lare nyang pawon
kamu membawa buku di pasar,riko nggowo buku nong pasar
anak melihat sayur ke sungai,lare ndeleng jangan nyang kali
kamu mengambil pisau,riko njuwut lading
aku menyimpan anak,isun nyimpen lare
bapak menyapu pisang di bukit,bapak nyapu gedhang nong puthuk
aku menyimpan pisau ke dapur,isun nyimpen lading nyang pawon
anak memukul nasi di sungai,lare nyampat sego nong kali
bapak menyimpan pisang dari pasar,bapak nyimpen gedhang teko pasar
nenek membawa nasi,embyah nggowo sego
mereka memanggil bunga ke pasar,wong-wong ngundang kembang nyang pasar
anak mengambil kunci dari rumah,lare njuwut kunci teko umah
aku melihat air ke pasar,isun ndeleng byanyu nyang pasar
mereka mengambil kunci ke pasar,wong-wong njuwut kunci nyang pasar
kamu menyimpan kunci ke sungai,riko nyimpen kunci nyang kali
kamu mengambil buku di pasar,riko njuwut buku nong pasar
anak membawa nasi dari rumah,lare nggowo sego teko umah
bapak memasak pisau di bukit,bapak ngolah lading nong puthuk
anak mencium buku ke bukit,lare ngambung buku nyang puthuk
bapak memukul bunga dari bukit,bapak nyampat kembang teko puthuk
mereka memanggil kunci ke dapur,wong-wong ngundang kunci nyang pawon
dia mencium bunga,yane ngambung kembang
dia menyapu sayur ke rumah,yane nyapu jangan nyang umah
kamu melihat bunga,riko ndeleng kembang
kamu membawa sayur di pasar,riko nggowo jangan nong pasar
nenek memukul sayur ke pasar,embyah nyampat jangan nyang pasar
bapak menyapu sayur di dapur,bapak nyapu jangan nong pawon
dia menyapu bunga ke rumah,yane nyapu kembang nyang umah
dia melihat sayur,yane ndeleng jangan
aku menyimpan air di sungai,isun nyimpen byanyu nong kali
saya melihat nasi di sungai,isun ndeleng sego nong kali
ibu menyimpan buku dari dapur,mak nyimpen buku teko pawon
mereka menyimpan air dari rumah,wong-wong nyimpen byanyu teko umah
ibu memasak buku dari sungai,mak ngolah buku teko kali
dia memanggil nasi di dapur,yane ngundang sego nong pawon
anak mengambil bunga,lare njuwut kembang
kamu menyapu anak ke rumah,riko nyapu lare nyang umah
ibu menyapu bunga,mak nyapu kembang
aku memukul air ke pasar,isun nyampat byanyu nyang pasar
nenek memukul sayur di bukit,embyah nyampat jangan nong puthuk
dia memukul buku di bukit,yane nyampat buku nong puthuk
kamu memasak bunga ke pasar,riko ngolah kembang nyang pasar
saya melihat kunci,isun ndeleng kunci
mereka memukul pisang dari pasar,wong-wong nyampat gedhang teko pasar
mereka memanggil sayur di sungai,wong-wong ngundang jangan nong kali
saya melihat nasi,isun ndeleng sego
anak mencium pisang di bukit,lare ngambung gedhang nong puthuk
aku melihat buku dari bukit,isun ndeleng buku teko puthuk
ibu melihat bunga dari pasar,mak ndeleng kembang teko pasar
dia memasak anak dari sungai,yane ngolah lare teko kali
ibu menyimpan kunci ke rumah,mak nyimpen kunci nyang umah
mereka memasak buku di dapur,wong-wong ngolah buku nong pawon
nenek memanggil air dari pasar,embyah ngundang byanyu teko pasar
saya memanggil bunga dari pasar,isun ngundang kembang teko pasar
kamu memasak sayur di pasar,riko ngolah jangan nong pasar
kamu memasak buku di pasar,riko ngolah buku nong pasar
mereka memanggil nasi dari rumah,wong-wong ngundang sego teko umah
kamu menyapu bunga,riko nyapu kembang
mereka melihat pisau dari bukit,wong-wong ndeleng lading teko puthuk
kamu mengambil kunci ke rumah,riko njuwut kunci nyang umah
dia membawa bunga dari sungai,yane nggowo kembang teko kali
kamu melihat pisang dari sungai,riko ndeleng gedhang teko kali
anak mencium anak ke sungai,lare ngambung lare nyang kali
bapak memukul bunga di dapur,bapak nyampat kembang nong pawon
anak menyimpan nasi di pasar,lare nyimpen sego nong pasar
ibu melihat sayur dari bukit,mak ndeleng jangan teko puthuk
kamu memukul anak ke dapur,riko nyampat lare nyang pawon
bapak menyimpan nasi di sungai,bapak nyimpen sego nong kali
aku mencium air dari sungai,isun ngambung byanyu teko kali
aku mencium anak,isun ngambung lare
kamu membawa air,riko nggowo byanyu
nenek memasak nasi ke sungai,embyah ngolah sego nyang kali
saya menyapu pisau ke dapur,isun nyapu lading nyang pawon
bapak membawa nasi di bukit,bapak nggowo sego nong puthuk
ibu menyapu bunga dari bukit,mak nyapu kembang teko puthuk
dia memanggil nasi ke sungai,yane ngundang sego nyang kali
dia mengambil air ke dapur,yane njuwut byanyu nyang pawon
dia melihat buku dari sungai,yane ndeleng buku teko kali
dia melihat air,yane ndeleng byanyu
ibu memasak nasi ke dapur,mak ngolah sego nyang pawon
aku memukul sayur,isun nyampat jangan
anak membawa sayur,lare nggowo jangan
kamu memukul buku,riko nyampat buku
mereka memukul anak ke sungai,wong-wong nyampat lare nyang kali
mereka membawa buku di dapur,wong-wong nggowo buku nong pawon
anak mengambil kunci ke pasar,lare njuwut kunci nyang pasar
saya membawa anak,isun nggowo lare
kamu membawa sayur dari dapur,riko nggowo jangan teko pawon
anak mengambil kunci ke pasar,lare njuwut kunci nyang pasar
aku membawa pisang,isun nggowo gedhang
aku menyapu pisang,isun nyapu gedhang
saya menyapu anak ke rumah,isun nyapu lare nyang umah
kamu menyapu sayur di sungai,riko nyapu jangan nong kali
anak memasak nasi di pasar,lare ngolah sego nong pasar
mereka memasak buku dari dapur,wong-wong ngolah buku teko pawon
bapak membawa bunga ke sungai,bapak nggowo kembang nyang kali
anak mencium air di dapur,lare ngambung byanyu nong pawon
bapak menyimpan kunci ke pasar,bapak nyimpen kunci nyang pasar
saya memanggil bunga dari sungai,isun ngundang kembang teko kali
aku memanggil sayur,isun ngundang jangan
anak mencium anak dari pasar,lare ngambung lare teko pasar
dia menyapu buku,yane nyapu buku
dia menyimpan pisau,yane nyimpen lading
anak membawa pisang dari dapur,lare nggowo gedhang teko pawon
ibu menyapu bunga dari pasar,mak nyapu kembang teko pasar
nenek memukul air di rumah,embyah nyampat byanyu nong umah
aku melihat pisang,isun ndeleng gedhang
aku menyapu bunga di pasar,isun nyapu kembang nong pasar
mereka menyimpan pisau ke bukit,wong-wong nyimpen lading nyang puthuk
ibu melihat nasi,mak ndeleng sego
ibu membawa bunga di sungai,mak nggowo kembang nong kali
anak membawa pisang di rumah,lare nggowo gedhang nong umah
bapak melihat anak,bapak ndeleng lare
kamu menyapu sayur ke dapur,riko nyapu jangan nyang pawon
anak mencium buku dari dapur,lare ngambung buku teko pawon
dia menyapu bunga di dapur,yane nyapu kembang nong pawon
dia mengambil air dari bukit,yane njuwut byanyu teko puthuk
mereka memukul buku di pasar,wong-wong nyampat buku nong pasar
bapak menyimpan bunga,bapak nyimpen kembang
mereka memanggil pisau dari pasar,wong-wong ngundang lading teko pasar
nenek memukul anak di rumah,embyah nyampat lare nong umah
nenek membawa anak di rumah,embyah nggowo lare nong umah
mereka melihat pisau di sungai,wong-wong ndeleng lading nong kali
bapak mencium pisang ke rumah,bapak ngambung gedhang nyang umah
ibu membawa nasi dari bukit,mak nggowo sego teko puthuk
kamu memukul pisau,riko nyampat lading
nenek mengambil pisang di rumah,embyah njuwut gedhang nong umah
anak mencium pisang,lare ngambung gedhang
kamu mencium pisau,riko ngambung lading
aku menyimpan sayur dari dapur,isun nyimpen jangan teko pawon
mereka menyapu anak di bukit,wong-wong nyapu lare nong puthuk
bapak menyapu buku di bukit,bapak nyapu buku nong puthuk
